group,replicate,fastq_1,fastq_2,antibody,control
MEF,1,data/SRR001644.fastq.gz,,H3K4me3,ENCSR000CBB
MEF,2,data/SRR001645.fastq.gz,,H3K4me3,ENCSR000CBB
NP,1,data/SRR002250.fastq.gz,,H3K4me1,ENCSR295GGT
NP,2,data/SRR002251.fastq.gz,,H3K4me1,ENCSR295GGT
NP,3,data/SRR002252.fastq.gz,,H3K4me1,ENCSR295GGT
NP,1,data/SRR002247.fastq.gz,,H3K4me2,ENCSR295GGT
NP,2,data/SRR002248.fastq.gz,,H3K4me2,ENCSR295GGT
NP,3,data/SRR002249.fastq.gz,,H3K4me2,ENCSR295GGT
ES,1,data/SRR002253.fastq.gz,,H3K4me2,ENCSR000ADJ
ES,2,data/SRR002254.fastq.gz,,H3K4me2,ENCSR000ADJ
ES,3,data/SRR002255.fastq.gz,,H3K4me2,ENCSR000ADJ
Brain,1,data/SRR002256.fastq.gz,,H3K4me3,ENCSR000CDB
Brain,1,data/SRR002257.fastq.gz,,H3K4me2,ENCSR000CDB
Brain,1,data/SRR002258.fastq.gz,,H3K27me3,ENCSR000CDB
